lvl,dps,dph
1,136,102
2,139,104.25
3,143,107.25
4,146,109.5
5,150,112.5
6,154,115.5
7,157,117.75
8,162,121.5
9,165,123.75
10,169,126.75
11,173,129.75
12,178,133.5
13,183,137.25
14,187,140.25
15,192,144
16,196,147
17,201,150.75
18,207,155.25
19,212,159
20,217,162.75
21,223,167.25
22,228,171
23,234,175.5
24,240,180
25,246,184.5
26,252,189
27,258,193.5
28,264,198
29,271,203.25
30,278,208.5
31,285,213.75
32,292,219
33,299,224.25
34,307,230.25
35,315,236.25
36,322,241.5
37,331,248.25
38,338,253.5
39,347,260.25
40,356,267
41,365,273.75
42,374,280.5
43,383,287.25
44,393,294.75
45,403,302.25
46,413,309.75
47,423,317.25
48,434,325.5
49,445,333.75
50,456,342
51,465,348.75
52,474,355.5
53,485,363.75
54,495,371.25
55,505,378.75
56,515,386.25
57,526,394.5
58,537,402.75
59,548,411
60,559,419.25
61,570,427.5
62,581,435.75
63,593,444.75
64,605,453.75
65,617,462.75
66,628,471
67,638,478.5
68,648,486
69,656,492
70,664,498
71,671,503.25
72,677,507.75
73,682,511.5
74,687,515.25
75,692,519
76,697,522.75
77,701,525.75
78,706,529.5
79,710,532.5
80,714,535.5
81,717,537.75
82,721,540.75
83,724,543
84,728,546
85,731,548.25
86,734,550.5
87,738,553.5
88,741,555.75
89,745,558.75
90,748,561
91,751,563.25
92,755,566.25
93,758,568.5
94,762,571.5
95,765,573.75
96,768,576
97,771,578.25
98,774,580.5
99,777,582.75
100,780,585
