lvl,dps,dph
1,102,122.4
2,104,124.8
3,105,126
4,108,129.6
5,110,132
6,112,134.4
7,115,138
8,116,139.2
9,119,142.8
10,122,146.4
11,124,148.8
12,127,152.4
13,129,154.8
14,132,158.4
15,134,160.8
16,137,164.4
17,139,166.8
18,143,171.6
19,145,174
20,148,177.6
21,151,181.2
22,154,184.8
23,157,188.4
24,161,193.2
25,164,196.8
26,167,200.4
27,170,204
28,173,207.6
29,177,212.4
30,181,217.2
31,184,220.8
32,188,225.6
33,192,230.4
34,196,235.2
35,200,240
36,203,243.6
37,207,248.4
38,212,254.4
39,216,259.2
40,220,264
41,234,280.8
42,239,286.8
43,244,292.8
44,249,298.8
45,254,304.8
46,259,310.8
47,265,318
48,270,324
49,276,331.2
50,282,338.4
51,288,345.6
52,294,352.8
53,300,360
54,307,368.4
55,314,376.8
56,320,384
57,327,392.4
58,334,400.8
59,341,409.2
60,349,418.8
61,355,426
62,362,434.4
63,370,444
64,377,452.4
65,385,462
66,393,471.6
67,400,480
68,408,489.6
69,417,500.4
70,425,510
71,434,520.8
72,442,530.4
73,451,541.2
74,459,550.8
75,468,561.6
76,475,570
77,483,579.6
78,490,588
79,498,597.6
80,506,607.2
81,513,615.6
82,519,622.8
83,526,631.2
84,533,639.6
85,540,648
86,547,656.4
87,553,663.6
88,560,672
89,567,680.4
90,574,688.8
91,581,697.2
92,587,704.4
93,594,712.8
94,601,721.2
95,608,729.6
96,615,738
97,622,746.4
98,629,754.8
99,636,763.2
100,643,771.6
