lvl,dps,dph
1,43,77.4
2,44,79.2
3,46,82.8
4,48,86.4
5,49,88.2
6,51,91.8
7,54,97.2
8,56,100.8
9,59,106.2
10,61,109.8
11,64,115.2
12,66,118.8
13,70,126
14,73,131.4
15,77,138.6
16,80,144
17,83,149.4
18,87,156.6
19,90,162
20,94,169.2
21,98,176.4
22,102,183.6
23,106,190.8
24,111,199.8
25,116,208.8
26,121,217.8
27,126,226.8
28,131,235.8
29,137,246.6
30,143,257.4
31,149,268.2
32,155,279
33,162,291.6
34,168,302.4
35,175,315
36,183,329.4
37,190,342
38,198,356.4
39,207,372.6
40,215,387
41,221,397.8
42,226,406.8
43,230,414
44,234,421.2
45,237,426.6
46,241,433.8
47,244,439.2
48,247,444.6
49,251,451.8
50,254,457.2
51,258,464.4
52,261,469.8
53,264,475.2
54,268,482.4
55,271,487.8
56,274,493.2
57,276,496.8
58,279,502.2
59,281,505.8
60,284,511.2
61,286,514.8
62,289,520.2
63,292,525.6
64,294,529.2
65,297,534.6
66,299,538.2
67,302,543.6
68,304,547.2
69,307,552.6
70,309,556.2
71,312,561.6
72,315,567
73,318,572.4
74,321,577.8
75,324,583.2
